Iterations:    5000
Error:         0.317832

q*             q              |q*-q|         
------------------------------------------
0              1.19867        1.19867        
0              1.06175        1.06175        
0              1.22549        1.22549        
0              1.34917        1.34917        
0              1.49325        1.49325        
0              1.64914        1.64914        
0              1.82339        1.82339        
0              2.01024        2.01024        
0              2.22506        2.22506        
0              2.43072        2.43072        
0              2.91695        2.91695        
